state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn,churn_binary,unique_id,total_charges,account_length_group_years,yrr_group
KY,122,408,false,true,27,253.7,84,43.13,229.2,109,19.48,190.5,123,8.57,9.2,5,2.48,7,false,0,36873429-7ea2-4454-9d3f-41ea866ca9f1,73.660000000000011,8-12,$60.00 - $79.99
NJ,53,408,false,false,0,228.6,117,38.86,132.8,123,11.29,227.2,124,10.22,10.1,2,2.73,9,true,1,a283d473-ca7b-4193-bb8e-c3b688f2dc51,63.099999999999994,4-8,$60.00 - $79.99
KS,116,408,true,false,0,232.2,98,39.47,244.7,91,20.8,151.3,69,6.81,10.6,1,2.86,7,true,1,2f37029a-20aa-4cf4-a620-dc0060b0a773,69.94,8-12,$60.00 - $79.99
VT,99,415,false,false,0,115.5,75,19.64,218.1,111,18.54,254.9,98,11.47,11.5,7,3.11,7,true,1,ba075afc-299d-4a6c-a76d-e3798d0d08e6,52.76,8-12,$40.00 - $59.99
FL,98,408,false,false,0,288.1,101,48.98,137.9,93,11.72,206.5,88,9.29,0,0,0,0,false,0,cb236153-a41e-4901-957e-7c756a82805b,69.99,8-12,$60.00 - $79.99
MN,44,408,false,false,0,207.2,90,35.22,178.6,76,15.18,182,74,8.19,0,0,0,0,false,0,531743ae-40ab-44ca-b560-962c649e0edb,58.589999999999996,0-4,$40.00 - $59.99
CA,127,510,false,false,0,107.9,128,18.34,187,77,15.9,218.5,95,9.83,0,0,0,0,false,0,6be5ea62-0a94-4b44-b416-0ce31c135e22,44.07,8-12,$40.00 - $59.99
OH,114,415,false,false,0,191.5,88,32.56,175.2,78,14.89,220.3,118,9.91,0,0,0,0,false,0,1b0c89ce-f5ed-4b18-b04f-6f516f606df1,57.36,8-12,$40.00 - $59.99
WA,63,408,false,false,0,211.7,107,35.99,271.7,77,23.09,203.3,108,9.15,7.4,7,2,0,false,0,8b5f377b-b170-4f52-b9b8-30bde6673953,70.23,4-8,$60.00 - $79.99
HI,146,510,false,false,0,189.3,77,32.18,155.9,128,13.25,186,83,8.37,7.4,3,2,0,false,0,ea68e97c-3418-45c4-a2bc-b9f5bd65b3cc,55.8,12-16,$40.00 - $59.99
NJ,112,510,false,true,22,244.7,104,41.6,203.1,88,17.26,222,84,9.99,7.4,6,2,0,false,0,836682cc-1c11-4717-a047-ed7b79655926,70.85,8-12,$60.00 - $79.99
WV,59,510,false,false,0,189.7,100,32.25,115.9,133,9.85,220.6,115,9.93,7.4,4,2,0,false,0,8d9572f1-b6cf-4356-a6f4-6610856c5274,54.03,4-8,$40.00 - $59.99
CT,100,415,false,true,38,177.1,88,30.11,163.7,108,13.91,242.7,72,10.92,7.4,2,2,0,false,0,36e146b6-3ab4-4ba7-991c-27a5ed0827ab,56.94,8-12,$40.00 - $59.99
CO,49,415,false,false,0,172,142,29.24,224,100,19.04,177.3,86,7.98,7.4,1,2,0,false,0,8db986f0-1027-43ea-bf37-f2292130ea94,58.260000000000005,4-8,$40.00 - $59.99
NJ,115,510,false,false,0,156.8,104,26.66,264.7,84,22.5,249,112,11.21,7.4,8,2,0,false,0,c0263d7d-a202-45ab-940d-85894d15130e,62.37,8-12,$60.00 - $79.99
IN,130,408,false,true,30,185,117,31.45,249.5,141,21.21,157.8,103,7.1,7.4,7,2,0,false,0,7e0b0061-824b-41a4-a509-a35a49d4464a,61.76,8-12,$60.00 - $79.99
UT,78,415,false,false,0,193.1,85,32.83,172.1,105,14.63,129.6,119,5.83,10.2,1,2.75,0,false,0,b0015197-58c6-4b0e-b981-a629a3885f52,56.04,4-8,$40.00 - $59.99
IN,100,510,false,false,0,216.2,107,36.75,215.6,84,18.33,138.4,127,6.23,10.2,3,2.75,0,false,0,f4426834-22e0-42c2-b0ca-5c1806460210,64.06,8-12,$60.00 - $79.99
WV,92,415,false,true,47,141.6,95,24.07,207.9,130,17.67,203.6,95,9.16,10.2,11,2.75,0,false,0,75b75fc1-2929-457b-8a24-2d9d22acedd6,53.650000000000006,4-8,$40.00 - $59.99
RI,83,510,false,false,0,259.7,106,44.15,152.7,116,12.98,224.7,92,10.11,10.2,2,2.75,0,false,0,d02e02d0-2f49-4db8-9011-a10200aabf46,69.99,4-8,$60.00 - $79.99
WV,93,415,false,false,0,141.7,95,24.09,221,100,18.79,227.1,71,10.22,10.2,3,2.75,0,false,0,4f1417da-afdd-490b-91b1-e18ae51f7194,55.849999999999994,4-8,$40.00 - $59.99
WI,184,408,false,true,12,200.3,76,34.05,253.6,105,21.56,149.3,93,6.72,10.2,5,2.75,0,false,0,4bafff97-1d28-4a13-99d4-0e61a63f372a,65.08,12-16,$60.00 - $79.99
IA,102,510,false,false,0,171.5,77,29.16,261,107,22.19,328.8,72,14.8,10.2,1,2.75,0,false,0,d322ea2d-9dd4-40a0-a0e1-d07146321361,68.9,8-12,$60.00 - $79.99
UT,83,510,false,true,33,228.2,85,38.79,249.2,114,21.18,93.5,89,4.21,10.2,7,2.75,0,false,0,6ced84ca-0451-4da7-845e-702a3a3fc620,66.929999999999993,4-8,$60.00 - $79.99
SC,149,415,false,true,20,147.8,132,25.13,276.8,94,23.53,149.9,110,6.75,10.2,6,2.75,0,false,0,3d1232d9-4dd2-494c-9465-d5c1aa4d0813,58.16,12-16,$40.00 - $59.99
MN,68,510,false,false,0,226.7,94,38.54,168.4,129,14.31,188.7,117,8.49,10.2,1,2.75,0,false,0,bb11f808-0cbb-4113-9803-0b3fb645c7ed,64.09,4-8,$60.00 - $79.99
AZ,62,408,false,true,42,137.3,95,23.34,184.2,94,15.66,231.4,70,10.41,10.2,3,2.75,0,false,0,2d96e129-df66-452d-b136-e5f813bc77e4,52.16,4-8,$40.00 - $59.99
AK,59,408,false,false,0,159.5,96,27.12,167.2,123,14.21,138.6,106,6.24,10.2,4,2.75,0,false,0,9573f255-bad4-4f45-8597-98165409624d,50.32,4-8,$40.00 - $59.99
IN,51,510,false,false,0,214.8,94,36.52,149.7,58,12.72,283.4,66,12.75,10.2,5,2.75,0,false,0,b949d7fd-7718-4329-a86f-c3da1685dfda,64.740000000000009,4-8,$60.00 - $79.99
IL,71,415,false,false,0,112.1,122,19.06,157.9,86,13.42,271.6,104,12.22,11.1,5,3,0,false,0,e097dfe9-1b01-4c64-8d9c-71976ed33d1b,47.699999999999996,4-8,$40.00 - $59.99
RI,107,415,false,true,37,60,102,10.2,102.2,80,8.69,261.8,106,11.78,11.1,3,3,0,false,0,c5d80104-be04-4d00-8f91-10170f49d140,33.67,8-12,$20.00 - $39.99
OH,54,415,false,false,0,255.4,122,43.42,22.3,87,1.9,152.6,72,6.87,11.1,6,3,0,false,0,868bc72a-8b12-465b-a75a-30c9d29e34f5,55.19,4-8,$40.00 - $59.99
GA,120,510,false,false,0,147.7,101,25.11,144.1,71,12.25,237,115,10.67,11.1,5,3,0,false,0,9848f346-ad56-4ea5-9879-95f301439955,51.03,8-12,$40.00 - $59.99
OR,1,415,false,false,0,195,81,33.15,266.2,123,22.63,213.9,132,9.63,11.1,6,3,0,false,0,6ae0334d-68cb-4b86-a9b3-12b93718673f,68.41,0-4,$60.00 - $79.99
WI,116,408,false,false,0,152.4,101,25.91,191,90,16.24,143,96,6.44,11.1,9,3,0,false,0,20098f96-a5b7-4011-9f52-34ae96c8f93c,51.589999999999996,8-12,$40.00 - $59.99
ID,72,415,true,false,0,101,110,17.17,240,70,20.4,333.5,105,15.01,11.1,6,3,0,false,0,85bc8583-6050-41d4-b084-18698539f5d0,55.58,4-8,$40.00 - $59.99
HI,148,510,true,false,0,218.9,88,37.21,208,85,17.68,203.3,99,9.15,11.1,4,3,0,false,0,8c1af3ae-d9fa-4d28-96ad-07bfaad3b290,67.04,12-16,$60.00 - $79.99
ND,55,415,false,false,0,180.1,77,30.62,235.5,98,20.02,169.4,104,7.62,11.1,2,3,0,false,0,27c340cf-50e2-45bc-aee3-f8ba8197f179,61.26,4-8,$60.00 - $79.99
MA,101,408,false,false,0,189,122,32.13,179.2,91,15.23,186.8,170,8.41,11.1,6,3,0,false,0,33ed35f7-a66f-4ee3-bf27-bae938688719,58.769999999999996,8-12,$40.00 - $59.99
OH,119,415,false,true,27,220.1,128,37.42,268.2,133,22.8,146.5,80,6.59,11.1,3,3,0,false,0,f344ced9-b993-4bca-8b97-0896ee8ce82c,69.81,8-12,$60.00 - $79.99
HI,63,415,false,false,0,112.5,95,19.13,211.2,67,17.95,227.5,96,10.24,11.1,8,3,0,false,0,2a09f672-4a7a-425e-92b3-302c959571dd,50.32,4-8,$40.00 - $59.99
UT,116,415,false,true,44,230.6,94,39.2,224.1,103,19.05,244,76,10.98,11.1,2,3,0,false,0,d47a719d-f6d7-451b-b795-d7d4833a2041,72.23,8-12,$60.00 - $79.99
WA,137,408,false,false,0,208.8,120,35.5,225.3,100,19.15,221.6,130,9.97,11.1,5,3,0,false,0,920c7fdb-3a01-4373-941b-858ea756d10c,67.62,8-12,$60.00 - $79.99
TX,38,510,false,false,0,149,92,25.33,49.2,78,4.18,163.3,93,7.35,13.9,11,3.75,0,false,0,7b97b61e-2ffa-4f26-8142-5486d00814ac,40.61,0-4,$40.00 - $59.99
TX,140,408,false,false,0,194.8,107,33.12,170.9,99,14.53,225.1,93,10.13,13.9,4,3.75,0,false,0,cc88e804-4983-4eee-8875-14f758f92635,61.53,8-12,$60.00 - $79.99
UT,94,415,false,false,0,183.1,109,31.13,199.4,109,16.95,214.1,71,9.63,13.9,4,3.75,0,false,0,015224c3-ceaf-4694-8a3f-7519ba3e0949,61.46,4-8,$60.00 - $79.99
NH,74,510,false,false,0,154.3,71,26.23,262.3,105,22.3,235.3,99,10.59,13.9,4,3.75,0,false,0,71007163-232b-46c5-8d1b-0767c428f85f,62.870000000000005,4-8,$60.00 - $79.99
NM,132,408,false,false,0,214.6,78,36.48,251.7,98,21.39,240.8,88,10.84,13.9,2,3.75,0,false,0,f0983bc9-e15e-47fc-8dc0-b9cf4e94b093,72.46,8-12,$60.00 - $79.99
NC,58,510,false,false,0,112.2,95,19.07,209.6,108,17.82,260.9,78,11.74,13.9,1,3.75,0,true,1,087a6e0f-38da-4ea6-8696-bf86b7e6936a,52.38,4-8,$40.00 - $59.99
NJ,127,510,false,false,0,245.2,91,41.68,217.2,92,18.46,243.1,128,10.94,13.9,6,3.75,0,true,1,bdf952ed-a073-4373-a0a8-f69253744316,74.83,8-12,$60.00 - $79.99
NJ,59,510,false,false,0,195,58,33.15,198.5,88,16.87,304.3,110,13.69,14.8,9,4,0,false,0,8326b86a-0712-4678-8b4c-872b88d16b53,67.71,4-8,$60.00 - $79.99
MI,139,415,false,true,20,214.6,101,36.48,235.1,132,19.98,162.8,132,7.33,14.8,12,4,0,false,0,37377d0e-7df3-49ee-82b0-64664e43a92d,67.789999999999992,8-12,$60.00 - $79.99
UT,91,510,false,false,0,142.6,90,24.24,286.8,102,24.38,222.2,113,10,14.8,3,4,0,false,0,baf05923-d75d-4115-b6b5-7d5ba632d119,62.62,4-8,$60.00 - $79.99
WA,55,408,false,false,0,285.7,124,48.57,230.9,106,19.63,230.7,140,10.38,14.8,7,4,0,true,1,229f27b5-cc7a-47a5-928f-9f99fffccc61,82.58,4-8,$80.00 - $99.99
NC,115,415,false,true,26,132.3,142,22.49,273.4,89,23.24,195.7,77,8.81,14.8,7,4,0,false,0,efc08064-de76-47fa-9ae1-5bace1ed1b22,58.54,8-12,$40.00 - $59.99
CO,119,408,false,false,0,124.3,68,21.13,207.1,88,17.6,157.4,93,7.08,14.8,1,4,0,false,0,03d09aae-5ddf-4741-9b62-e764ce8292f2,49.81,8-12,$40.00 - $59.99
OK,17,408,false,false,0,180.4,121,30.67,228.5,111,19.42,199.5,99,8.98,14.8,5,4,0,false,0,fff4abf1-3c47-46c9-868f-a40f527113d0,63.070000000000007,0-4,$60.00 - $79.99
NM,20,408,false,false,0,131.5,64,22.36,161.8,124,13.75,158.6,106,7.14,14.8,5,4,0,false,0,496ffed9-d5f6-4b1b-aa89-27e55d139813,47.25,0-4,$40.00 - $59.99
SC,1,408,false,false,0,123.8,113,21.05,236.2,77,20.08,73.2,81,3.29,3.7,2,1,0,false,0,2f53a7a7-af51-47b6-b554-4f45fcefd9d0,45.419999999999995,0-4,$40.00 - $59.99
NC,165,415,false,false,0,207.7,109,35.31,164.8,94,14.01,54.5,91,2.45,7.9,3,2.13,0,false,0,14ea5b77-472b-4d4b-a845-ab483a1f881e,53.900000000000006,12-16,$40.00 - $59.99
MD,79,415,false,false,0,213.4,107,36.28,176.2,82,14.98,180.1,125,8.1,7.9,4,2.13,0,false,0,c7a74487-ce74-477b-aa77-7cb724257809,61.490000000000009,4-8,$60.00 - $79.99
ID,118,415,false,false,0,140.4,112,23.87,187.1,60,15.9,207.9,155,9.36,7.9,1,2.13,0,false,0,5080b3b7-0d54-4edd-85c1-b905be916bcc,51.260000000000005,8-12,$40.00 - $59.99
WY,91,415,false,false,0,34.5,85,5.87,192.3,80,16.35,256.3,71,11.53,7.9,7,2.13,0,false,0,743cefb1-f091-4201-a8d7-ea5ef7d89485,35.88,4-8,$20.00 - $39.99
MI,128,415,false,false,0,179.4,94,30.5,270.4,92,22.98,191,88,8.59,7.9,4,2.13,0,false,0,79d1ab03-838b-47e0-9a5e-340d73167307,64.2,8-12,$60.00 - $79.99
DC,94,415,false,true,31,209.3,90,35.58,281.7,111,23.94,190.1,66,8.55,7.9,5,2.13,0,false,0,f357a76b-4897-4f8e-8532-d9b4d8af5bec,70.199999999999989,4-8,$60.00 - $79.99
CO,53,510,false,true,24,201.7,87,34.29,251.7,97,21.39,297.4,95,13.38,7.9,5,2.13,0,false,0,47978c49-7bb3-4a9a-97e1-1dfe3c945e26,71.19,4-8,$60.00 - $79.99
UT,118,408,true,true,52,123.7,114,21.03,133.2,137,11.32,191.8,102,8.63,7.9,3,2.13,0,false,0,9f28b1fd-26d6-4f20-9d6e-200853187f3a,43.110000000000007,8-12,$40.00 - $59.99
VA,58,408,false,false,0,181.4,106,30.84,145.8,77,12.39,200.3,85,9.01,7.9,3,2.13,0,false,0,436318a4-ddc7-4150-bc7a-be75737a70ee,54.370000000000005,4-8,$40.00 - $59.99
RI,134,415,false,false,0,141.7,95,24.09,205.6,101,17.48,218.5,60,9.83,8.8,6,2.38,0,false,0,7b4a0e35-f0f9-440d-bc4c-b7333b6f2d1d,53.78,8-12,$40.00 - $59.99
NM,138,408,false,false,0,63.7,114,10.83,212.2,132,18.04,247.6,114,11.14,8.8,4,2.38,0,false,0,c6fd150d-40e5-428b-a051-aee6dbf616fc,42.39,8-12,$40.00 - $59.99
DE,97,510,false,false,0,225.1,90,38.27,279.5,127,23.76,233.8,103,10.52,8.8,4,2.38,0,true,1,fe33730d-5619-4696-ace8-5f04af1ca630,74.929999999999993,8-12,$60.00 - $79.99
FL,106,510,false,false,0,159.6,94,27.13,276.8,118,23.53,223.5,65,10.06,8.8,3,2.38,0,false,0,fd693e3f-517f-4d0d-90f4-9bf513befa4c,63.1,8-12,$60.00 - $79.99
SC,93,415,false,false,0,190.2,68,32.33,262.2,64,22.29,130,92,5.85,8.8,4,2.38,0,false,0,2a66a1bd-4c17-46bc-9099-59131abe2e9a,62.85,4-8,$60.00 - $79.99
IL,179,510,false,false,0,116.1,101,19.74,201.8,99,17.15,181.9,103,8.19,11.6,5,3.13,0,false,0,7d453b2a-48e3-4a9e-b1b0-802270109ff3,48.21,12-16,$40.00 - $59.99
IA,120,415,false,true,33,299.5,83,50.92,163.4,84,13.89,146.7,88,6.6,11.6,5,3.13,0,false,0,f58a0623-566d-4e66-aaa4-6662bf7405cc,74.539999999999992,8-12,$60.00 - $79.99
ID,113,415,false,true,30,183.8,102,31.25,183.4,123,15.59,235,52,10.58,11.6,7,3.13,0,false,0,c6ae7d48-f729-4767-934f-7ad9c723a4e5,60.550000000000004,8-12,$60.00 - $79.99
DC,96,415,false,false,0,217.8,120,37.03,139.6,109,11.87,227.7,111,10.25,11.6,3,3.13,0,false,0,0cee7216-bb1c-4c33-b934-4e8416c2be79,62.28,4-8,$60.00 - $79.99
PA,101,415,true,false,0,193.7,108,32.93,186.6,98,15.86,223,100,10.04,11.6,8,3.13,0,false,0,3553fc77-fd73-412d-8dea-61322a686e49,61.96,8-12,$60.00 - $79.99
CA,111,408,false,false,0,249.8,109,42.47,242.4,106,20.6,231.8,78,10.43,11.6,4,3.13,0,true,1,ab9031eb-1d74-48ca-95d9-0dc7801ef0e9,76.63,8-12,$60.00 - $79.99
AZ,138,415,false,false,0,240.8,104,40.94,144.5,92,12.28,125.7,98,5.66,11.6,1,3.13,0,false,0,5affccbd-e42b-46dc-b455-accf62830d86,62.01,8-12,$60.00 - $79.99
ND,94,510,false,false,0,154.8,113,26.32,261.8,121,22.25,213,81,9.58,11.6,5,3.13,0,false,0,4f27c051-ff83-48f9-83fc-6798ff68bb15,61.28,4-8,$60.00 - $79.99
DC,144,415,false,false,0,133.3,101,22.66,255.5,127,21.72,228.6,68,10.29,11.6,2,3.13,0,false,0,15dbbe3d-03c1-401e-bb05-f5ed35f8894b,57.8,8-12,$40.00 - $59.99
MI,105,415,false,false,0,226.9,106,38.57,182.2,77,15.49,203.9,107,9.18,11.6,2,3.13,0,true,1,e415d322-3834-46ab-bb00-ee8921c4f67a,66.37,8-12,$60.00 - $79.99
WY,70,415,false,false,0,175.4,130,29.82,159.5,130,13.56,260.6,96,11.73,11.6,4,3.13,0,false,0,34acf729-6b8a-4d85-a291-038971fcbf37,58.24,4-8,$40.00 - $59.99
AL,136,510,false,false,0,109.4,91,18.6,207.5,111,17.64,135,107,6.08,11.6,5,3.13,0,false,0,53b5e0d7-f866-4b8f-9ea5-9580b1852f68,45.45,8-12,$40.00 - $59.99
AL,85,408,false,false,0,127.9,107,21.74,271.2,124,23.05,202.2,76,9.1,12.5,5,3.38,0,false,0,0784625d-5bfb-4055-94ed-09b66650bfa4,57.27,4-8,$40.00 - $59.99
FL,153,415,false,false,0,228.9,102,38.91,160.7,136,13.66,203.1,109,9.14,12.5,2,3.38,0,false,0,48fbd95e-a378-4793-8a4e-3d6fc143cfee,65.089999999999989,12-16,$60.00 - $79.99
DC,118,415,false,false,0,183.1,128,31.13,241,93,20.49,211.1,108,9.5,12.5,4,3.38,0,false,0,2361c5d6-ae04-4fab-af20-42eb160ea630,64.5,8-12,$60.00 - $79.99
NJ,135,415,false,false,0,191.7,125,32.59,284.2,100,24.16,211.7,87,9.53,12.5,2,3.38,0,false,0,1cbc26d6-74d0-4fc7-a7ce-390df1c7cac7,69.66,8-12,$60.00 - $79.99
IA,76,510,false,false,0,198.3,130,33.71,217.1,86,18.45,188.4,96,8.48,12.5,3,3.38,0,false,0,162ce0b1-e83a-44fa-98cf-6c30c048af9b,64.02,4-8,$60.00 - $79.99
MO,174,510,false,false,0,235.5,108,40.04,142.3,143,12.1,316.7,131,14.25,12.5,5,3.38,0,false,0,c2dc641f-f125-4e01-b1e9-292d2afc74bc,69.77,12-16,$60.00 - $79.99
NJ,100,415,false,false,0,203.8,122,34.65,283.1,76,24.06,197.3,83,8.88,12.5,3,3.38,0,false,0,70865043-a82f-4051-86e5-989dd6e38e07,70.969999999999985,8-12,$60.00 - $79.99
MI,30,510,false,false,0,227.4,88,38.66,182.5,100,15.51,191.7,134,8.63,12.5,3,3.38,0,false,0,78f8bb91-4f64-4dc5-9870-ba72c2b5515d,66.179999999999993,0-4,$60.00 - $79.99
MN,134,415,false,false,0,244.1,99,41.5,246.9,111,20.99,200,133,9,7.2,2,1.94,0,false,0,85e44960-aa09-487e-a15f-acdf03a8abcf,73.429999999999993,8-12,$60.00 - $79.99
MA,150,408,false,true,27,209.8,112,35.67,155,80,13.18,251.5,111,11.32,7.2,6,1.94,0,false,0,251ec03f-c83b-4b72-9332-60634440ad16,62.11,12-16,$60.00 - $79.99
TX,115,415,false,false,0,211.1,112,35.89,227.8,113,19.36,179.6,110,8.08,7.2,2,1.94,0,false,0,d66dbb39-577d-489a-993e-b9b2fb7aac50,65.27,8-12,$60.00 - $79.99
TX,104,415,false,false,0,304,141,51.68,264.1,127,22.45,138.1,104,6.21,7.2,4,1.94,0,true,1,06d44c10-e90d-440f-8f40-42bade8d5fec,82.279999999999987,8-12,$80.00 - $99.99
AK,115,415,false,false,0,245.2,105,41.68,159,109,13.52,229.9,74,10.35,7.2,8,1.94,0,false,0,d1da8d4e-ccf2-41f6-b7e4-b34330e2cc53,67.49,8-12,$60.00 - $79.99
TX,41,408,false,true,22,213.8,102,36.35,141.8,86,12.05,142.2,123,6.4,7.2,3,1.94,0,false,0,1cafd4ce-d300-4504-8a6e-fa53cd0ada3d,56.74,0-4,$40.00 - $59.99
MN,55,415,false,false,0,175.6,147,29.85,161.8,118,13.75,289.5,55,13.03,9.3,4,2.51,0,false,0,0120d12c-f442-4114-a56c-d549559cf86d,59.14,4-8,$40.00 - $59.99
WV,107,415,false,false,0,123.1,100,20.93,158.4,82,13.46,256.1,82,11.52,9.3,5,2.51,0,false,0,d2a588bf-b863-4ed7-9eb0-5ac887741662,48.419999999999995,8-12,$40.00 - $59.99
VT,86,415,false,true,34,129.4,102,22,267.1,104,22.7,154.8,100,6.97,9.3,16,2.51,0,false,0,de5d3255-9c88-499c-8ea6-c62bf200849c,54.18,4-8,$40.00 - $59.99
OR,69,415,false,false,0,243.3,101,41.36,109.2,99,9.28,176.9,138,7.96,9.3,3,2.51,0,false,0,b7dffe9d-a256-4474-81d6-47438a648e89,61.11,4-8,$60.00 - $79.99
CT,87,415,false,false,0,240,83,40.8,134.1,106,11.4,189.1,84,8.51,9.3,2,2.51,0,true,1,2b231be0-ae24-4e90-8a6d-45d1d9ce32e4,63.219999999999992,4-8,$60.00 - $79.99
NM,102,510,false,true,18,144.4,76,24.55,160.7,97,13.66,200.8,101,9.04,9.3,4,2.51,0,false,0,0c2bc54e-f7a0-4e99-9c2a-6f3133a92c66,49.76,8-12,$40.00 - $59.99
VT,120,415,false,false,0,221.3,106,37.62,267.6,98,22.75,111.5,80,5.02,9.3,7,2.51,0,false,0,ea5c06a0-47cb-41f4-a1c8-7e78aa4591a3,67.9,8-12,$60.00 - $79.99
MT,108,415,false,false,0,108.6,128,18.46,325.2,97,27.64,173.6,67,7.81,9.3,6,2.51,0,false,0,cd1734c1-2817-4a12-895b-42ef0f4377b0,56.42,8-12,$40.00 - $59.99
GA,77,415,false,false,0,134.5,119,22.87,119.7,104,10.17,250.7,112,11.28,9.3,5,2.51,0,false,0,aa8ce292-131e-4238-91cc-16b7397bad24,46.83,4-8,$40.00 - $59.99
WI,92,415,true,false,0,264.3,91,44.93,160.9,115,13.68,198.6,73,8.94,9.3,5,2.51,0,false,0,2702b141-6455-48db-aff6-ab798fc3a7f8,70.06,4-8,$60.00 - $79.99
TX,80,510,false,true,22,196.4,115,33.39,150.3,109,12.78,176.2,75,7.93,9.3,1,2.51,0,false,0,9ce5768a-ea50-4034-be27-5b048c9ad623,56.61,4-8,$40.00 - $59.99
WY,43,415,true,false,0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0,false,0,1e9c8ebb-a54f-4dee-9218-2fbbf7ea45c8,70.46,0-4,$60.00 - $79.99
MI,109,415,true,true,26,217.2,138,36.92,145.5,111,12.37,280.7,76,12.63,9.3,3,2.51,0,false,0,46b28138-2c3f-49c0-a386-3bc995f7e876,64.43,8-12,$60.00 - $79.99
CA,19,408,false,false,0,146.8,99,24.96,190.5,101,16.19,146.1,68,6.57,9.3,2,2.51,0,false,0,dde2a1b8-70d3-4fa3-be18-72ebc4866904,50.230000000000004,0-4,$40.00 - $59.99
NH,111,510,false,false,0,197.1,117,33.51,227.8,128,19.36,214,101,9.63,9.3,11,2.51,0,false,0,e050e5d2-96bc-4b2c-a9d2-c353d0eadcc1,65.01,8-12,$60.00 - $79.99
DE,108,510,false,false,0,169.6,99,28.83,264.1,87,22.45,206.3,78,9.28,9.3,4,2.51,0,false,0,cac050f6-403b-41bd-9ab8-298a12bfd10b,63.07,8-12,$60.00 - $79.99
KY,104,415,false,false,0,130.5,77,22.19,131.2,117,11.15,264.7,63,11.91,13,6,3.51,0,false,0,3d48eb70-5950-4593-a75a-edbb25602b43,48.76,8-12,$40.00 - $59.99
OH,32,415,false,true,31,232.8,97,39.58,183.5,111,15.6,206.8,111,9.31,13,2,3.51,0,false,0,53a6069b-0a9b-4e8e-a2b6-53cfceae5f5c,68,0-4,$60.00 - $79.99
